peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_group	Space_code
0.774794	4.0	2.0	2.0	2.191448	1.0	1.0	1.0	1.89785	2.0	0.0	0.0	1.144447	3.0	1.0	1.0	0.848744	4.0	2.0	0.0	0.870793	3.0	3.0	1.0	Fm3m	4
3.949191	1.0	1.0	0.0	2.280067	2.0	1.0	1.0	1.492654	3.0	2.0	1.0	2.7925	2.0	0.0	0.0	1.766132	3.0	1.0	0.0	0.7745	6.0	4.0	0.0	Im3m	8
3.963334	1.0	1.0	0.0	2.288232	2.0	1.0	1.0	1.497999	3.0	2.0	1.0	2.8025	2.0	0.0	0.0	1.772457	3.0	1.0	0.0	0.792667	5.0	4.0	3.0	Im3m	8
3.949191	1.0	1.0	0.0	2.280067	2.0	1.0	1.0	1.492654	3.0	2.0	1.0	2.7925	2.0	0.0	0.0	1.766132	3.0	1.0	0.0	0.7745	6.0	4.0	0.0	Im3m	8
3.963334	1.0	1.0	0.0	2.288232	2.0	1.0	1.0	1.497999	3.0	2.0	1.0	2.8025	2.0	0.0	0.0	1.772457	3.0	1.0	0.0	0.792667	5.0	4.0	3.0	Im3m	8
3.968283	1.0	1.0	0.0	2.291089	2.0	1.0	1.0	1.49987	3.0	2.0	1.0	2.806	2.0	0.0	0.0	1.77467	3.0	1.0	0.0	0.793657	5.0	4.0	3.0	Im3m	8
3.973233	1.0	1.0	0.0	2.293947	2.0	1.0	1.0	1.501741	3.0	2.0	1.0	2.8095	2.0	0.0	0.0	1.776884	3.0	1.0	0.0	0.794647	5.0	4.0	3.0	Im3m	8
4.030509	1.0	1.0	0.0	2.327015	2.0	1.0	1.0	0.775672	7.0	2.0	1.0	1.523389	3.0	2.0	1.0	1.802498	3.0	1.0	0.0	2.85	2.0	0.0	0.0	Im3m	8
3.966162	1.0	1.0	0.0	2.289865	2.0	1.0	1.0	1.499068	3.0	2.0	1.0	2.8045	2.0	0.0	0.0	1.773722	3.0	1.0	0.0	0.793232	5.0	4.0	3.0	Im3m	8
3.971112	1.0	1.0	0.0	2.292722	2.0	1.0	1.0	1.500939	3.0	2.0	1.0	2.808	2.0	0.0	0.0	1.775935	3.0	1.0	0.0	0.794222	5.0	4.0	3.0	Im3m	8
4.028387	1.0	1.0	0.0	2.325791	2.0	1.0	1.0	0.775264	7.0	2.0	1.0	1.522587	3.0	2.0	1.0	1.80155	3.0	1.0	0.0	2.8485	2.0	0.0	0.0	Im3m	8
3.964748	1.0	1.0	0.0	2.289048	2.0	1.0	1.0	1.498534	3.0	2.0	1.0	2.8035	2.0	0.0	0.0	1.773089	3.0	1.0	0.0	0.79295	5.0	4.0	3.0	Im3m	8
2.054466	1.0	0.0	1.0	0.866733	2.0	1.0	1.0	0.780546	3.0	0.0	0.0	2.14084	0.0	0.0	2.0	2.341638	1.0	0.0	0.0	0.804245	1.0	0.0	5.0	P6_3mmc	0
2.055607	1.0	0.0	1.0	0.867322	2.0	1.0	1.0	2.14095	0.0	0.0	2.0	2.343292	1.0	0.0	0.0	0.781097	3.0	0.0	0.0	0.804348	1.0	0.0	5.0	P6_3mmc	0
2.297326	1.0	0.0	1.0	1.9825	1.0	1.0	0.0	1.500904	0.0	2.0	1.0	1.196646	2.0	1.0	1.0	0.810786	3.0	1.0	2.0	1.40933	0.0	1.0	2.0	R3m	7
2.270712	1.0	0.0	1.0	1.9685	1.0	1.0	0.0	0.803227	3.0	1.0	2.0	1.487396	0.0	2.0	1.0	1.18672	2.0	1.0	1.0	1.389814	0.0	1.0	2.0	R3m	7
2.238679	1.0	0.0	1.0	1.954	1.0	1.0	0.0	0.794587	3.0	1.0	2.0	1.472112	0.0	2.0	1.0	1.175777	2.0	1.0	1.0	1.365609	0.0	1.0	2.0	R3m	7
2.222919	1.0	0.0	1.0	1.946	1.0	1.0	0.0	0.790151	3.0	1.0	2.0	1.464206	0.0	2.0	1.0	1.170005	2.0	1.0	1.0	1.354043	0.0	1.0	2.0	R3m	7
2.198406	1.0	0.0	1.0	1.9352	1.0	1.0	0.0	0.78357	1.0	1.0	2.0	1.452583	0.0	2.0	1.0	1.161725	2.0	1.0	1.0	1.335564	0.0	1.0	2.0	R3m	7
0.773285	3.0	1.0	2.0	2.161722	1.0	0.0	1.0	1.917	1.0	1.0	0.0	1.434275	0.0	2.0	1.0	1.148419	2.0	1.0	1.0	0.850731	1.0	1.0	-3.0	R3m	7
2.135321	1.0	0.0	1.0	1.9145	1.0	1.0	0.0	1.425454	0.0	2.0	1.0	1.143343	2.0	1.0	1.0	0.836768	1.0	1.0	3.0	0.873494	1.0	3.0	1.0	R3m	7
2.09335	1.0	0.0	1.0	1.919	1.0	1.0	0.0	0.813599	1.0	1.0	3.0	1.414566	0.0	2.0	1.0	1.138644	2.0	1.0	1.0	0.87224	1.0	3.0	1.0	R3m	7
2.072159	1.0	0.0	1.0	1.925	1.0	1.0	0.0	0.801591	1.0	1.0	3.0	1.137678	2.0	1.0	1.0	1.410338	0.0	2.0	1.0	0.872928	1.0	3.0	1.0	R3m	7
2.0661	1.0	0.0	1.0	1.922	1.0	1.0	0.0	0.798868	1.0	1.0	3.0	1.135436	2.0	1.0	1.0	1.407247	0.0	2.0	1.0	0.871355	1.0	3.0	1.0	R3m	7
1.995455	1.0	1.0	0.0	1.152077	2.0	1.0	1.0	0.892395	3.0	1.0	0.0	1.411	2.0	0.0	0.0	0.997728	2.0	2.0	0.0	0.814641	2.0	2.0	2.0	Im3m	8
1.991142	1.0	1.0	0.0	1.149586	2.0	1.0	1.0	0.890466	3.0	1.0	0.0	1.40795	2.0	0.0	0.0	0.995571	2.0	2.0	0.0	0.81288	2.0	2.0	2.0	Im3m	8
1.985273	1.0	1.0	0.0	1.146198	2.0	1.0	1.0	0.887841	3.0	1.0	0.0	1.4038	2.0	0.0	0.0	0.810484	2.0	2.0	2.0	0.992637	2.0	2.0	0.0	Im3m	8
1.975727	1.0	1.0	0.0	1.140687	2.0	1.0	1.0	0.883572	3.0	1.0	0.0	1.39705	2.0	0.0	0.0	0.806587	2.0	2.0	2.0	0.987864	2.0	2.0	0.0	Im3m	8
3.135416	1.0	1.0	1.0	1.920042	2.0	2.0	0.0	1.637418	3.0	1.0	1.0	1.108537	4.0	2.0	2.0	0.858669	6.0	2.0	0.0	0.917956	5.0	3.0	1.0	Fd3m	3
