peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_code
6.4795	0.0	2.0	0.0	2.812352	2.0	4.0	0.0	4.279599	1.0	1.0	1.0	2.83258	4.0	0.0	0.0	3.139257	1.0	1.0	-2.0	5.66516	2.0	0.0	0.0	2
2.740626	2.0	4.0	0.0	2.729934	4.0	0.0	0.0	2.913032	3.0	1.0	-2.0	8.272972	1.0	1.0	0.0	3.498512	3.0	1.0	0.0	2.884984	2.0	2.0	-2.0	2
2.717302	2.0	4.0	0.0	6.2628	0.0	2.0	0.0	3.063456	1.0	1.0	-2.0	2.733791	4.0	0.0	0.0	3.499871	3.0	1.0	0.0	2.863857	3.0	1.0	-2.0	2
2.73448	2.0	4.0	0.0	6.3115	0.0	2.0	0.0	2.739057	4.0	0.0	0.0	3.115058	1.0	1.0	-2.0	2.554366	1.0	3.0	-2.0	3.508198	3.0	1.0	0.0	2
4.712978	1.0	1.0	-2.0	2.881301	1.0	3.0	2.0	6.630252	1.0	1.0	0.0	3.265148	2.0	2.0	-1.0	3.638244	2.0	0.0	-2.0	4.967577	0.0	2.0	1.0	2
3.063629	0.0	0.0	2.0	4.941	0.0	2.0	0.0	3.148024	2.0	0.0	-2.0	2.548572	6.0	2.0	0.0	3.357456	5.0	1.0	0.0	4.737109	1.0	1.0	1.0	2
5.68926	3.0	1.0	-1.0	3.09956	6.0	2.0	-1.0	3.167896	6.0	2.0	0.0	9.011823	1.0	1.0	0.0	5.425023	3.0	1.0	1.0	2.881941	0.0	0.0	4.0	2
9.77612	1.0	1.0	0.0	3.605095	4.0	2.0	0.0	0.770304	23.0	3.0	-3.0	3.816688	0.0	2.0	1.0	5.43476	3.0	1.0	0.0	4.07048	3.0	1.0	-1.0	2
7.805261	1.0	1.0	0.0	3.027212	3.0	1.0	-2.0	3.254636	1.0	3.0	0.0	4.500463	1.0	1.0	1.0	3.902631	2.0	2.0	0.0	5.690391	1.0	1.0	-1.0	2
3.013458	4.0	2.0	-4.0	2.68348	2.0	2.0	6.0	3.187484	2.0	0.0	6.0	4.9725	0.0	2.0	0.0	2.525632	4.0	2.0	4.0	4.527129	1.0	1.0	4.0	2
3.041932	4.0	2.0	-4.0	2.709894	2.0	2.0	6.0	5.541003	2.0	0.0	-4.0	3.217006	2.0	0.0	6.0	7.640429	2.0	0.0	-2.0	5.910331	2.0	0.0	2.0	2
3.043218	4.0	2.0	-4.0	2.707469	2.0	2.0	6.0	3.209449	2.0	0.0	6.0	2.548051	4.0	2.0	4.0	2.763232	4.0	0.0	-8.0	2.856633	3.0	3.0	-2.0	2
2.988177	2.0	2.0	-1.0	2.521222	0.0	0.0	2.0	2.485218	2.0	2.0	1.0	3.200576	2.0	2.0	0.0	2.918951	3.0	1.0	0.0	2.895707	3.0	1.0	-1.0	2
2.994247	2.0	2.0	-1.0	2.535588	0.0	0.0	2.0	2.523264	2.0	2.0	1.0	0.77093	4.0	10.0	2.0	2.898645	3.0	1.0	-1.0	2.958169	3.0	1.0	0.0	2
2.992051	2.0	2.0	-1.0	2.947719	3.0	1.0	0.0	2.514517	2.0	2.0	1.0	2.534855	0.0	0.0	2.0	3.227107	2.0	2.0	0.0	2.562733	1.0	3.0	-1.0	2
2.993034	2.0	2.0	-1.0	3.281949	0.0	0.0	2.0	2.873808	6.0	0.0	0.0	2.401962	4.0	2.0	1.0	2.627239	4.0	2.0	-1.0	2.416498	6.0	0.0	-2.0	2
0.7703	6.0	8.0	-4.0	5.347045	1.0	1.0	-1.0	3.43363	2.0	0.0	2.0	3.32462	3.0	1.0	-1.0	5.028483	0.0	0.0	2.0	5.656615	2.0	0.0	0.0	2
4.423601	0.0	0.0	2.0	3.849599	1.0	1.0	-1.0	5.291562	2.0	0.0	0.0	0.770342	6.0	0.0	8.0	4.919961	2.0	0.0	-2.0	2.934158	3.0	1.0	-1.0	2
3.792709	2.0	2.0	-2.0	3.544617	2.0	2.0	2.0	3.506841	4.0	2.0	-1.0	3.675939	3.0	3.0	-1.0	3.399743	2.0	4.0	1.0	5.815145	2.0	2.0	0.0	2
2.748018	1.0	1.0	-3.0	3.168607	3.0	1.0	1.0	2.785	0.0	2.0	0.0	3.559484	3.0	1.0	-1.0	3.164299	4.0	0.0	-2.0	2.090601	4.0	2.0	-2.0	2
5.659967	2.0	0.0	0.0	4.644514	0.0	2.0	1.0	4.72945	1.0	1.0	1.0	3.302568	2.0	2.0	1.0	4.176348	1.0	3.0	0.0	8.668763	1.0	1.0	0.0	2
5.659967	2.0	0.0	0.0	4.644514	0.0	2.0	1.0	4.72945	1.0	1.0	1.0	4.176348	1.0	3.0	0.0	3.302568	2.0	2.0	1.0	8.668763	1.0	1.0	0.0	2
5.806731	2.0	0.0	0.0	4.282088	1.0	3.0	0.0	4.742616	0.0	2.0	1.0	3.256993	1.0	1.0	-2.0	6.91	0.0	2.0	0.0	5.778983	1.0	1.0	-1.0	2
3.747842	1.0	1.0	2.0	3.552506	0.0	2.0	2.0	3.122143	1.0	1.0	-3.0	3.070847	3.0	1.0	-2.0	3.247477	1.0	3.0	-1.0	3.738559	2.0	2.0	0.0	2
3.508299	0.0	2.0	2.0	3.082064	1.0	1.0	-3.0	6.320892	1.0	1.0	-1.0	0.770313	3.0	13.0	-3.0	2.907809	3.0	1.0	1.0	3.193915	1.0	3.0	-1.0	2
3.466296	3.0	1.0	0.0	2.938446	1.0	1.0	4.0	3.274073	2.0	0.0	-4.0	3.158819	3.0	1.0	-2.0	2.964615	1.0	1.0	-4.0	3.67429	0.0	0.0	4.0	2
3.48413	3.0	1.0	0.0	2.961511	1.0	1.0	4.0	2.988061	1.0	1.0	-4.0	3.701531	0.0	0.0	4.0	3.294297	2.0	0.0	-4.0	3.176419	3.0	1.0	-2.0	2
3.492887	3.0	1.0	0.0	3.731333	0.0	0.0	4.0	3.005111	1.0	1.0	-4.0	3.184206	3.0	1.0	-2.0	2.981967	1.0	1.0	4.0	3.31141	2.0	0.0	-4.0	2
3.496954	3.0	1.0	0.0	3.741652	0.0	0.0	4.0	3.011987	1.0	1.0	-4.0	3.187997	3.0	1.0	-2.0	2.989665	1.0	1.0	4.0	2.18814	0.0	2.0	4.0	2
13.019458	2.0	0.0	0.0	4.281748	5.0	1.0	-1.0	2.812306	4.0	2.0	2.0	4.165274	4.0	0.0	2.0	6.342813	0.0	0.0	2.0	3.377796	7.0	1.0	-1.0	2
3.17858	0.0	2.0	2.0	3.17273	2.0	2.0	0.0	3.183716	1.0	3.0	-1.0	2.928038	2.0	2.0	-2.0	3.494479	2.0	0.0	-2.0	2.38534	2.0	0.0	2.0	2
3.388112	2.0	0.0	2.0	3.097775	5.0	1.0	-2.0	3.12764	0.0	2.0	1.0	2.775976	2.0	2.0	1.0	2.405906	3.0	1.0	-4.0	2.307026	4.0	2.0	1.0	2
3.206319	5.0	1.0	-2.0	3.495982	5.0	1.0	0.0	3.39213	2.0	2.0	1.0	2.995841	0.0	2.0	2.0	0.770433	20.0	6.0	-7.0	7.938231	1.0	1.0	0.0	2
7.585001	0.0	0.0	2.0	3.519321	5.0	1.0	-1.0	4.447065	1.0	1.0	-3.0	2.939987	0.0	2.0	3.0	3.538596	5.0	1.0	-3.0	3.515152	0.0	2.0	1.0	2
3.588164	3.0	3.0	-2.0	3.445678	6.0	0.0	0.0	2.981211	3.0	3.0	2.0	3.418626	0.0	0.0	4.0	2.175567	9.0	3.0	-2.0	3.160688	6.0	0.0	-4.0	2
3.029335	0.0	2.0	4.0	3.140847	2.0	2.0	0.0	3.240574	1.0	3.0	-2.0	3.233441	1.0	3.0	2.0	2.495914	2.0	0.0	-4.0	2.272765	1.0	5.0	2.0	2
2.878813	4.0	2.0	1.0	2.726443	5.0	1.0	-3.0	2.905797	2.0	2.0	2.0	1.456291	3.0	3.0	-6.0	3.029384	5.0	1.0	1.0	3.037937	6.0	0.0	-2.0	2
3.023389	0.0	2.0	4.0	3.231807	1.0	3.0	-2.0	3.1475	2.0	2.0	0.0	3.226833	1.0	3.0	2.0	3.437009	0.0	0.0	4.0	6.35688	0.0	2.0	0.0	2
3.219258	0.0	0.0	6.0	2.953735	1.0	3.0	2.0	3.191311	3.0	1.0	-6.0	2.932333	5.0	1.0	-5.0	3.696639	3.0	1.0	2.0	2.883942	4.0	2.0	1.0	2
0.770311	7.0	1.0	-27.0	3.221889	0.0	0.0	6.0	2.94796	1.0	3.0	2.0	2.928416	5.0	1.0	-5.0	3.189112	3.0	1.0	-6.0	3.047302	4.0	2.0	0.0	2
3.145943	1.0	1.0	3.0	3.228882	2.0	0.0	-4.0	2.931793	3.0	1.0	-1.0	4.518787	1.0	1.0	1.0	2.540877	1.0	1.0	-5.0	2.658566	3.0	1.0	1.0	2
6.080343	1.0	1.0	-1.0	3.972171	0.0	0.0	2.0	3.490909	2.0	2.0	-1.0	4.543254	1.0	1.0	1.0	3.331785	3.0	1.0	0.0	3.040172	2.0	2.0	-2.0	2
3.958076	0.0	0.0	2.0	3.678564	3.0	1.0	-1.0	3.50269	2.0	2.0	-1.0	2.928013	0.0	2.0	2.0	2.699217	3.0	1.0	-3.0	4.3515	0.0	2.0	0.0	2
10.360082	2.0	0.0	0.0	9.605532	0.0	0.0	2.0	3.07591	3.0	1.0	4.0	4.822695	1.0	1.0	1.0	7.27187	2.0	0.0	-2.0	4.40931	1.0	1.0	2.0	2
10.458704	2.0	0.0	0.0	9.616638	0.0	0.0	2.0	3.090542	3.0	1.0	4.0	4.840662	1.0	1.0	1.0	7.293886	2.0	0.0	-2.0	4.424771	1.0	1.0	2.0	2
2.663264	3.0	1.0	0.0	3.292648	2.0	0.0	-2.0	2.881574	1.0	1.0	-2.0	2.449473	1.0	1.0	2.0	4.698245	2.0	0.0	0.0	1.719748	4.0	2.0	-2.0	2
2.647529	3.0	1.0	0.0	3.293007	2.0	0.0	-2.0	2.870909	1.0	1.0	-2.0	2.427952	1.0	1.0	2.0	1.630316	3.0	1.0	-4.0	4.66744	2.0	0.0	0.0	2
2.65001	3.0	1.0	0.0	3.294062	2.0	0.0	-2.0	2.871237	1.0	1.0	-2.0	2.428886	1.0	1.0	2.0	1.717953	4.0	2.0	-2.0	1.630619	3.0	1.0	-4.0	2
3.136892	2.0	2.0	-1.0	2.970025	0.0	2.0	1.0	1.90827	2.0	4.0	-2.0	1.864641	2.0	4.0	0.0	2.74985	0.0	4.0	0.0	2.650304	2.0	0.0	-2.0	2
6.433222	2.0	0.0	0.0	3.050302	2.0	4.0	0.0	3.216611	4.0	0.0	0.0	4.474489	2.0	2.0	-1.0	2.795217	1.0	3.0	-2.0	2.849369	1.0	1.0	2.0	2
5.741892	2.0	0.0	0.0	2.990755	1.0	1.0	-4.0	4.682538	1.0	1.0	-2.0	6.36896	0.0	0.0	2.0	3.344803	3.0	1.0	0.0	3.439	0.0	2.0	0.0	2
5.473581	3.0	1.0	0.0	3.663507	6.0	0.0	-6.0	3.3803	0.0	2.0	0.0	3.324672	4.0	0.0	4.0	3.127238	10.0	0.0	-2.0	2.484329	6.0	2.0	-6.0	2
3.31823	1.0	1.0	1.0	3.025235	3.0	1.0	-1.0	2.943071	4.0	0.0	0.0	2.752261	2.0	0.0	-2.0	1.931098	4.0	2.0	0.0	1.874088	2.0	2.0	-2.0	2
3.257147	2.0	2.0	1.0	3.120008	4.0	2.0	-1.0	4.827429	1.0	1.0	-1.0	1.958121	2.0	4.0	-2.0	1.99184	6.0	4.0	0.0	2.740323	6.0	0.0	0.0	2
4.382493	1.0	1.0	-4.0	4.016667	1.0	1.0	4.0	4.936326	2.0	0.0	0.0	5.444071	1.0	1.0	-2.0	5.843597	1.0	1.0	0.0	4.121745	2.0	0.0	-4.0	2
4.378383	1.0	1.0	-4.0	4.01122	1.0	1.0	4.0	5.837884	1.0	1.0	0.0	5.439349	1.0	1.0	-2.0	4.930003	2.0	0.0	0.0	4.117883	2.0	0.0	-4.0	2
3.376184	3.0	1.0	-1.0	3.103621	3.0	1.0	1.0	2.990403	6.0	0.0	0.0	5.621895	1.0	1.0	0.0	2.96	0.0	2.0	0.0	2.522718	0.0	0.0	2.0	2
3.144862	9.0	1.0	-1.0	3.13112	9.0	1.0	1.0	3.006362	18.0	0.0	0.0	3.488217	5.0	1.0	-1.0	1.902535	18.0	2.0	0.0	4.474624	5.0	1.0	0.0	2
10.009372	0.0	0.0	2.0	3.336457	0.0	0.0	6.0	2.624237	1.0	3.0	1.0	2.436045	1.0	3.0	3.0	4.601863	1.0	1.0	0.0	3.264674	1.0	1.0	4.0	2
10.078839	0.0	0.0	2.0	2.630805	1.0	3.0	1.0	3.359613	0.0	0.0	6.0	0.770417	0.0	12.0	0.0	2.44412	1.0	3.0	3.0	2.636752	2.0	0.0	-2.0	2
