   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   3    9   -3   1.292916    73.483043     6.105472      73.7362   73.13685    1.45777    4
   0   14    0   1.291286   -10.782646     1.818399      10.9349   73.24420    0.01599    2
   6    4   -3   1.286635    -0.117171    -2.128126      2.13135   73.55238    0.00120    4
   6    6    1   1.282091   -95.073015     1.132989      95.0798   73.85626    2.37951    4
   4    8    2   1.281713   -25.840317    -0.186261       25.841   73.88161    0.17565    4
   1    3   -4   1.281027   -79.934762    -1.262473      79.9447   73.92780    1.67921    4
   5    5    2   1.280826   -58.714153    -3.965666      58.8479   73.94129    0.90958    4
   0    0    4   1.277927   164.884318    10.900438      165.244   74.13710    3.56831    2
   3    5    3   1.276388    45.699848     6.932522      46.2227   74.24157    0.55695    4
   4   12   -1   1.276123    19.316029     2.314132      19.4542   74.25958    0.09861    4
   5    9    1   1.276011    32.406330     3.788385       32.627   74.26719    0.27732    4
   3    3   -4   1.275519    69.452179     3.115508       69.522   74.30064    1.25809    4
   5    7   -3   1.275455    33.659331     0.458141      33.6624   74.30501    0.29492    4
   3   13    0   1.273581     0.893637    -1.257121      1.54238   74.43280    0.00062    4
   4   12    0   1.272736    58.732102     4.210285      58.8828   74.49063    0.89825    4
   7    5    0   1.272359   -10.751073    -3.378257      11.2693   74.51644    0.03288    4
   6    8   -2   1.268053   -52.062534    -2.193261      52.1087   74.81267    0.69792    4
   2    4   -4   1.267566    46.978517     4.572416      47.2005   74.84636    0.57216    4
   4    0   -4   1.267061   198.735265    13.611994      199.201   74.88136    5.09108    2
   3   13   -1   1.266297    -2.467055     1.618280      2.95046   74.93428    0.00223    4
   0    2    4   1.265344   -19.021979    -3.646572      19.3684   75.00043    0.09598    4
   7    5   -2   1.264520   -17.362427    -2.814706      17.5891   75.05774    0.07905    4
   2   10   -3   1.257601     0.276201    -1.373417      1.40091   75.54281    0.00050    4
   5   11   -1   1.257181    -4.436260    -3.088792      5.40565   75.57248    0.00737    4
   1    9    3   1.255419    56.832137     4.672351      57.0239   75.69724    0.81825    4
   4    2   -4   1.254792   -24.023712    -3.935830       24.344   75.74168    0.14897    4
   0   14    1   1.251957   -45.064717    -5.190264      45.3626   75.94361    0.51483    4
   2   14    0   1.246199    29.039578     3.408297      29.2389   76.35745    0.21185    4
   4    0    3   1.244386    -1.679815    -3.461046      3.84716   76.48884    0.00183    2
   5   11    0   1.243827   -30.160945     4.666451      30.5198   76.52938    0.22992    4
   2    8    3   1.243448   -15.764226    -1.646353        15.85   76.55696    0.06197    4
   0   10    3   1.239945    50.831160     1.060687      50.8422   76.81265    0.63398    4
   7    1    1   1.235378    11.857130     1.305029      11.9287   77.14889    0.03464    4
   7    7   -1   1.233993    64.302708    -0.477592      64.3045   77.25147    1.00430    4
   4    2    3   1.232758    72.596218     5.893764      72.8351   77.34323    1.28584    4
   1    5   -4   1.232474   -47.284886    -3.605820      47.4222   77.36438    0.54484    4
   1   13   -2   1.230477   -51.654060    -3.600785      51.7794   77.51341    0.64745    4
   0    4    4   1.229713    39.485104     2.703225      39.5775   77.57052    0.37779    4
   2   14   -1   1.229603   -86.408403    -5.187561       86.564   77.57876    1.80696    4
   8    0   -1   1.228990   -19.262292    -3.891428      19.6514   77.62471    0.04652    2
   3    5   -4   1.227567     5.997368    -2.466937      6.48492   77.73162    0.01011    4
   6    6   -3   1.226030   -12.565555     4.294351      13.2791   77.84743    0.04228    4
   1    1    4   1.223539   -10.793703    -0.722660      10.8179   78.03594    0.02794    4
   7    1   -3   1.221144    19.926610     1.822258      20.0098   78.21817    0.09524    4
   4    4   -4   1.220021   -64.098002     0.545840      64.1003   78.30393    0.97560    4
   8    2   -1   1.217785    52.705435     5.717054      53.0146   78.47535    0.66494    4
   6    0    2   1.216859    88.394462     7.562232      88.7174   78.54662    0.92969    2
   2   12    2   1.213192    33.055462     3.356129      33.2254   78.83014    0.25927    4
   6   10   -1   1.213068   -54.199017    -2.439833      54.2539   78.83975    0.69118    4
   7    3    1   1.212929   -44.237025    -4.005035       44.418   78.85053    0.46318    4
   5    7    2   1.210012    23.294377     2.955527      23.4811   79.07789    0.12884    4
   2    6   -4   1.209497     2.796052    -1.442927      3.14642   79.11810    0.00231    4
   5    1   -4   1.209301     9.276089     2.391205      9.57934   79.13350    0.02142    4
   3   11    2   1.208205     6.767149     4.801474       8.2975   79.21943    0.01604    4
   3   13    1   1.207409    53.365619     4.288044      53.5376   79.28190    0.66706    4
